Kume,Drone,Depo,Yuk,Mesafe,Rota
0,1,Kuzey Depo,12,42.2,Kuzey Depo -> Nokta 1 (12 birim) -> Kuzey Depo
0,2,Kuzey Depo,25,177.8,Kuzey Depo -> Nokta 5 (15 birim) -> Nokta 9 (10 birim) -> Kuzey Depo
0,3,Kuzey Depo,29,127.58,Kuzey Depo -> Nokta 8 (11 birim) -> Nokta 25 (18 birim) -> Kuzey Depo
0,4,Kuzey Depo,24,96.2,Kuzey Depo -> Nokta 11 (8 birim) -> Nokta 35 (16 birim) -> Kuzey Depo
0,5,Kuzey Depo,30,282.52,Kuzey Depo -> Nokta 12 (10 birim) -> Nokta 43 (11 birim) -> Nokta 26 (9 birim) -> Kuzey Depo
0,6,Kuzey Depo,29,183.9,Kuzey Depo -> Nokta 17 (8 birim) -> Nokta 14 (9 birim) -> Nokta 40 (12 birim) -> Kuzey Depo
0,7,Kuzey Depo,27,219.3,Kuzey Depo -> Nokta 21 (15 birim) -> Nokta 36 (12 birim) -> Kuzey Depo
1,8,Güney Depo,24,185.11,Güney Depo -> Nokta 3 (12 birim) -> Nokta 30 (12 birim) -> Güney Depo
1,9,Güney Depo,27,200.17,Güney Depo -> Nokta 22 (5 birim) -> Nokta 6 (13 birim) -> Nokta 16 (9 birim) -> Güney Depo
1,10,Güney Depo,23,237.96,Güney Depo -> Nokta 7 (4 birim) -> Nokta 31 (19 birim) -> Güney Depo
1,11,Güney Depo,18,116.62,Güney Depo -> Nokta 23 (18 birim) -> Güney Depo
1,12,Güney Depo,27,120.43,Güney Depo -> Nokta 27 (15 birim) -> Nokta 29 (12 birim) -> Güney Depo
1,13,Güney Depo,15,124.86,Güney Depo -> Nokta 38 (15 birim) -> Güney Depo
2,14,Güney Depo,28,183.02,Güney Depo -> Nokta 2 (6 birim) -> Nokta 44 (17 birim) -> Nokta 28 (5 birim) -> Güney Depo
2,15,Güney Depo,29,116.48,Güney Depo -> Nokta 10 (13 birim) -> Nokta 15 (16 birim) -> Güney Depo
3,16,Kuzey Depo,27,199.78,Kuzey Depo -> Nokta 13 (14 birim) -> Nokta 45 (13 birim) -> Kuzey Depo
3,17,Kuzey Depo,28,185.92,Kuzey Depo -> Nokta 19 (16 birim) -> Nokta 32 (12 birim) -> Kuzey Depo
3,18,Kuzey Depo,9,149.79,Kuzey Depo -> Nokta 20 (4 birim) -> Nokta 42 (5 birim) -> Kuzey Depo
4,19,Güney Depo,29,195.47,Güney Depo -> Nokta 18 (10 birim) -> Nokta 4 (12 birim) -> Nokta 34 (4 birim) -> Nokta 39 (3 birim) -> Güney Depo
4,20,Güney Depo,30,127.19,Güney Depo -> Nokta 24 (13 birim) -> Nokta 41 (17 birim) -> Güney Depo
4,21,Güney Depo,14,142.68,Güney Depo -> Nokta 33 (14 birim) -> Güney Depo
4,22,Güney Depo,18,62.04,Güney Depo -> Nokta 37 (18 birim) -> Güney Depo
